country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags,anomaly_score,is_anomaly
ESP,Manchasol-2,WKS0071032,50.0,39.181,-3.314,Solar,,,0.1634,False
COL,Termozipa Corral power station,WRI1018588,230.0,4.9708,-73.9473,Coal,1975.0,,0.0373,False
GBR,Templeborough Biomass Power Plant- Rotherham,GBR2001003,42.0,53.4226,-1.3734,Biomass,,,0.1626,False
USA,Shore Point Solar,USA0057951,1.0,40.245,-74.2433,Solar,2011.0,,0.1829,False
USA,Mountaineer,USA0006264,1300.0,38.9794,-81.9344,Coal,1980.0,,-0.0282,True
USA,Solon Diesel,USA0007058,8.0,46.359,-91.8236,Oil,1991.375,,0.1688,False
FRA,Villeneuve-lès-Avignon,WRI1025239,,43.9767,4.7943,Solar,,MISSING_CAPACITY,0.1908,False
USA,FPL Energy North Dakota Wind I/II,USA0056099,61.5,46.3272,-98.8984,Wind,2003.0,,0.1337,False
CHN,Jiangsu Huadian Qishuyan,WRI1061042,780.0,31.74,120.04,Gas,,,0.0155,False
KOR,Kori,WRI1000213,3137.0,35.3199,129.2948,Nuclear,,,-0.1333,True
USA,Boston Medical Center CHP Plant,USA0061186,2.0,42.3347,-71.0742,Gas,2017.0,,0.1852,False
UKR,Karkov CHP-5,WRI1005126,540.0,49.9719,36.107,Gas,,,0.0364,False
USA,Chanute 3,USA0007018,34.8,37.6376,-95.4704,Gas,1987.505747126437,,0.1632,False
BRA,Asja BH,BRA0030191,4.2780000000000005,-19.813,-43.9465,Waste,,,0.1041,False
CHL,CURAUMA,CHL0000112,2.5,-33.1291,-71.557,Oil,,,0.0348,False
USA,DWW Solar ll,USA0062657,36.9,41.5416,-72.475,Solar,2020.0,,0.1718,False
CHN,Liangjiang,WRI1061065,934.0,29.78,106.51,Gas,2014.0,,0.0101,False
USA,Caelum Community Solar,USA0061180,,45.662,-93.9368,Solar,2017.0,MISSING_CAPACITY,0.1633,False
CZE,Kramolín Solar Power Plant,WRI1029516,3.3,48.9054,14.7426,Solar,,,0.1852,False
DEU,Lürschau,WKS0068811,10.0,54.55,9.468,Solar,,,0.1606,False
USA,Penascal Wind Power LLC,USA0056795,,27.0702,-97.5077,Wind,2009.0,MISSING_CAPACITY,0.1343,False
USA,Wor-Wic Community College - Offsite,USA0063512,2.0,38.4133,-75.6901,Solar,2019.0,,0.1857,False
CHN,Inner Mongolia Tianrun Danaobao,WRI1072426,49.0,41.8167,113.6083,Wind,,,0.1337,False
CHN,Yuyang A,WKS0070001,200.0,38.762,109.679,Solar,,,0.0901,False
USA,Salem Energy Systems LLC,USA0054984,4.5,36.1912,-80.1835,Waste,2017.0,,0.1794,False
IND,ChSP} NKG,WKS0061220,10.0,23.8994,71.1935,Solar,,,0.1325,False
CMR,Limbe,WRI1023035,10.62,4.0167,9.2,Oil,,,0.0975,False
DEU,Heizkraftwerk West,WRI1005761,,49.0144,8.3481,Gas,1984.0,MISSING_CAPACITY,0.1888,False
USA,Bliss,USA0000810,75.0,42.9138,-115.071,Hydro,1949.6666666666667,,0.1161,False
IRN,Neishabour,WRI1008168,,36.2804,58.7774,Gas,,MISSING_CAPACITY,0.1473,False
