country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags
USA,Mariani Packing Vacaville Solar,USA0057005,1.0,38.4001,-121.9637,Solar,2008.0,
USA,Domino Sugar Arabi Plant,USA0054512,14.0,29.9468,-90.0018,Gas,1968.2857142857144,
KEN,Kipevu III,WRI1000052,120.0,-4.0379,39.6333,Oil,1999.0,
BIH,Krupa Hydroelectric Power Plant Bosnia and Herzegovina,GEODB0044818,48.5,44.5624,17.135,Hydro,,
CHN,Luding,WRI1000609,920.0,29.95,102.23,Hydro,,
CHN,Datang Anzishan Wind,WRI1071942,45.0,34.791,111.587,Wind,,
IND,Mirpur Kalan - Alianz Eco Solar Power Plant,WRI1026171,2.1,29.7303,75.3099,Solar,,
CHN,Yaomeng power station,WRI1070770,2160.0,33.7375,113.2419,Coal,1994.0,
USA,Voyager Wind I,USA0060594,131.1,35.0461,-118.2827,Wind,2020.0,
USA,Anchor Wind  LLC,USA0058044,6.0,41.8508,-91.2342,Wind,2012.0,
CHL,TALTAL,CHL0002018,99.0,-25.0595,-69.8485,Wind,,
GBR,Ikea Distribution Centre - resubmission,GBR0001490,1.7,53.5406,-1.0314,Solar,,
IND,KANHER,IND0000179,,17.7384,73.917,Hydro,1991.0,MISSING_CAPACITY
CAN,Lower Sturgeon,CAN0008072,,48.8132,-81.4875,Hydro,,MISSING_CAPACITY
USA,Liberty Electric Power Plant,USA0055231,614.0,39.8614,-75.3358,Gas,2002.0,
IND,Valathadippatti,WKS0074132,10.0,10.578,78.635,Solar,,
GTM,Palo Viejo,WRI1061402,85.0,15.5,-90.874,Hydro,2012.0,
CHN,Jingjiawan A,WKS0069408,50.0,40.769,113.096,Solar,,
JPN,Nakanishi A,WKS0070653,20.0,34.722,138.172,Solar,,
NZL,Waipori,WRI1000348,83.0,-45.8816,169.9774,Hydro,,
ESP,Casas Ibañez,WKS0060336,5.1,39.2714,-1.4687,Solar,,
USA,Kaw,USA0001294,165.7,39.0867,-94.6514,Gas,1958.3717561858784,
ESP,VIELHA 1,WRI1008028,21.86,42.702,0.7956,Hydro,1947.0,
CHN,Malong River 3#,WRI1071874,10.0,24.1564,99.5444,Hydro,,
USA,SunEdison Walgreens Moreno Valley,USA0057004,1.0,33.8672,-117.23,Solar,2007.0,
AUS,John Butters,AUS0000134,144.0,-42.1548,145.5345,Hydro,,
FRA,Gréning,WRI1024781,6.9,48.9741,6.8413,Wind,,
USA,Chester Solar Farm,USA0059767,4.8,42.312,-72.949,Solar,2014.0,
ESP,LA RISCA,WRI1006592,50.0,38.8269,-6.824,Solar,2009.0,
RUS,Budennovskaya TPP,WRI1062043,149.9,44.8291,44.1064,Gas,2014.0,
USA,Epic Verona,USA0062676,43.19999999999999,42.9968,-89.5687,Oil,2012.2777777777785,
IND,N_SAGAR LBC,IND0000284,60.0,16.5697,79.3389,Hydro,1992.0,
THA,Khon Kaen 1 Solar Power Plant,WRI1026254,6.1,16.5117,102.7942,Solar,,
USA,Wooster Renewable Energy,USA0059072,1.0,40.785,-81.9514,Biomass,2014.0,
BGD,Faridpur,WRI1029216,54.0,23.6183,89.7733,Oil,,
FRA,Levoncourt,WRI1025013,4.0,48.8276,5.3459,Wind,,
USA,Williamson,USA0063409,,43.2341,-77.1522,Solar,2019.0,MISSING_CAPACITY
USA,Fairgrounds,USA0002082,,38.5935,-92.2206,Oil,1974.0,MISSING_CAPACITY
GBR,Llyn Brianne Dam,GBR0000415,4.4,52.1203,-3.7699,Hydro,,
BRA,Santa Maria,BRA0029019,4.95,-8.2947,-35.5956,Wind,2010.0,
DEU,GuD-Anlage,WRI1005719,47.0,49.9882,9.1558,Gas,2013.0,
USA,GL Dairy Biogas,USA0058219,2.0,43.1244,-89.545,Biomass,2013.7,
USA,Horseshoe Lake,USA0002951,947.0,35.5087,-97.1797,Gas,1969.8014783526928,
GBR,Mendennick Solar,GBR0004891,2.64,50.355,-4.2407,Solar,,
IND,Visakhapatnam Port,WKS0070887,10.0,17.719,83.255,Solar,,
ROU,Urziceni,WKS0071369,22.6,44.714,26.596,Solar,,
ESP,SERRA DE VILOBI,WRI1007900,,42.1555,2.2828,Wind,2007.0,MISSING_CAPACITY
BRA,Ventos de Morrinhos,BRA0030945,30.0,-10.5696,-40.6286,Wind,2015.0,
VNM,Suoi Vang (AnKroet),WRI1030800,3.1,11.9921,108.3708,Hydro,1945.0,
GBR,Weston Landfill Site,GBR0000678,2.0,52.2244,-1.0194,Waste,,
FRA,Alluyes,WRI1024260,12.0,48.229,1.3648,Wind,,
IDN,PLTU Tanjung Enim -Bukit Asam,WRI1000988,260.0,-3.7316,103.7975,Coal,,
BRA,Plantar,BRA0030757,5.0,-19.4299,-44.325,Biomass,,
FRA,Saint-Cézaire-sur-Siagne,WRI1024563,9.6,43.6597,6.8033,Hydro,,
TWN,Houli,WRI1000423,1.0,24.3108,120.7214,Hydro,2010.0,
CHE,Amsteg-Regulierzentrale,WRI1004041,1.73,13.9018,-31.069,Hydro,1998.0,OCEAN_COORDS
MYS,Batang Al,WRI1000280,103.0,1.1472,111.8743,Hydro,,
CHN,Ningxia Tongxin Jiaze Tianjialing Wind,WRI1072202,49.0,37.2978,105.8683,Wind,,
RUS,CHP-PVS,WRI1062179,286.0,59.1372,37.8484,Gas,,
CAN,Stave Falls,CAN0008430,91.0,49.2288,-122.3561,Hydro,,
IND,HALDIA,IND0000139,600.0,22.1042,88.1764,Coal,2015.0,
CHN,Hunan Xinhua Pingyouqiao,WRI1071356,6.0,28.0481,110.9022,Hydro,,
UKR,Nikopol,WKS0071509,10.7,47.775,34.095,Solar,,
IDN,Amurang power station,WRI1075799,60.0,1.1825,124.4806,Coal,2012.0,
ESP,Castejon,WKS0060321,5.2,42.1517,-1.6556,Solar,,
CHN,Baiyun Ebo Inner Mongolia Luneng Phase 2,WRI1071705,49.0,41.6778,109.9572,Wind,,
USA,Scituate PV,USA0059013,2.5,42.1775,-70.7406,Solar,2013.0,
USA,Pittsgrove Solar,USA0060740,2.0,39.539,-75.1793,Solar,2014.0,
CHN,Huitengxile,WRI1070920,25.0,24.7,108.33,Wind,,
GBR,Abbots Ripton,GBR0001766,24.66717,52.3787,-0.1982,Solar,,
FRA,Mazères,WRI1025549,1.29381,43.2309,1.6787,Solar,,
CHN,Jiamusi-2 power station,WRI1070017,600.0,46.8322,130.4042,Coal,2008.0,
USA,Astoria Energy II,USA0057664,650.0,40.7813,-73.8966,Gas,2011.0,
GBR,Crook Hill (Revised Application - Rochdale MBC) 2 of 2,GBR0004659,23.8,-19.5486,63.4056,Wind,,OCEAN_COORDS
CAN,Bearspaw,CAN0007654,17.0,51.1012,-114.2823,Hydro,,
BRA,Jacarezinho,BRA0028153,4.6000000000000005,-23.0895,-49.9321,Biomass,,
MEX,Ingenio Adolfo López Mateos,MEX0006642,13.5,18.0502,-96.1527,Biomass,,
BRA,Bom Jardim,BRA0029062,30.0,-28.4403,-49.5703,Wind,2011.0,
USA,Owatonna Energy Station,USA0060254,38.8,44.0852,-93.2627,Gas,2018.0,
USA,North Jersey Media Group Solar Facility,USA0058358,4.1,40.9242,-74.4947,Solar,2013.0,
ESP,SEROS II 1,WRI1023650,44.24,41.4744,0.4534,Hydro,1989.0,
JPN,Kikugawa Horinouchiya Solar Power Plant,WRI1026494,7.5,34.6689,138.0921,Solar,,
NOR,Hemsil 2,WRI1003206,188.0,60.7053,8.9718,Hydro,,
CAN,Simcoe Solar Energy Centre III,CAN0008366,10.0,44.4166,-78.8859,Solar,,
GBR,Gawcott Fields Farm,GBR0002227,9.2,51.9885,-1.005,Solar,,
NOR,Songa,WRI1003515,140.0,59.7776,7.7258,Hydro,,
ESP,Hinojosa del Valle,WKS0060100,12.0,38.474,-6.232,Solar,,
USA,BWC Wareham River,USA0062370,1.0,41.7837,-70.6932,Solar,2019.0,
DNK,Klim Fjordholme,WRI1002298,67.2,57.0599,9.1563,Wind,1996.0,
SVK,Kreplany Hydroelectric Power Plant Slovakia,GEODB0042648,,49.1281,19.0941,Hydro,,MISSING_CAPACITY
BRA,Victor Baptista Adami (Antiga Passos Maia),BRA0029072,,-26.7086,-51.9197,Hydro,2012.0,MISSING_CAPACITY
USA,Newington,USA0008002,414.0,43.1,-70.7908,Gas,1974.0,
USA,Brooklyn Navy Yard Cogeneration,USA0054914,322.0,40.6994,-73.9764,Gas,1996.0,
DEU,DKW Leinau,WRI1005634,11.4,47.9125,10.6117,Oil,,
BRA,Lwarcel (Antiga Lençóis Paulista),BRA0028620,38.0,-22.5402,-48.7994,Biomass,1987.0,
FRA,Laval-de-Cère,WRI1024899,5.1,44.9443,1.9359,Hydro,,
CHN,Baoji Lingyuan Landfill,WRI1071865,1.0,34.4253,107.1047,Gas,,
FRA,Castillon-de-Saint-Martory,WRI1025312,1.9,43.1371,0.851,Hydro,,
CHN,Baoding Landfill,WRI1071621,1.0,38.859,115.5378,Gas,,
ESP,PARQUE EOLICO LA RETUERTA,WRI1007494,38.0,37.5076,-7.2704,Wind,2009.0,
IND,Badal,WKS0072794,15.0,30.068,74.671,Solar,,
CAN,Chatham,CAN0002124,101.2,42.2065,-82.3226,Wind,,
GBR,Dunbar,GBR0000794,2.2,55.9725,-2.4566,Waste,,
GRC,Kotomini,WRI1061100,485.0,41.0646,25.4899,Gas,2002.0,
JPN,Ushikuma A,WKS0070633,6.0,33.5753,130.727,Solar,,
BRA,CooperSul,BRA0030222,1.44,8.6481,-23.239,Oil,,OCEAN_COORDS
USA,Riverside (OK),USA0004940,1121.7,35.9978,-95.9567,Gas,1980.0920032094143,
ARG,CENTRAL TERMOELECTRICA GUILLERMO BROWN,ARG0000042,524.0,-34.6268,-58.5438,Gas,,
JOR,Oryx Ma'an,WKS0068491,10.4,30.216,35.613,Solar,,
DEU,Kraftwerk 3,WRI1005876,18.5,48.1539,12.6524,Hydro,1920.0,
DEU,Schwarzheide Solar Power Plant,WRI1025905,,17.3325,-25.4081,Solar,,OCEAN_COORDS|MISSING_CAPACITY
GBR,Middlewick,GBR0004662,20.7,51.6631,0.8925,Wind,,
RUS,Sakhalin SDPP,WRI1061803,84.0,48.9791,142.9641,Coal,,
CHN,GoSP} U,WKS0066537,10.0,36.4,95.265,Solar,,
CAN,Millbrook,CAN0008127,6.0,45.3263,-63.3441,Wind,,
USA,CalPeak Power Panoche Peaker Plant,USA0055508,60.5,36.6529,-120.5806,Gas,2002.0,
USA,Union Power Station,USA0055380,2428.0,33.2961,-92.5894,Gas,2003.0,
DEU,Vilshofen an der Donau Solar Power Plant,WRI1030338,2.0,48.5979,13.1785,Solar,,
MAR,DAOURAT,WRI1023690,17.0,-25.155,67.6638,Hydro,1950.0,OCEAN_COORDS
FRA,Roc du Doun,WKS0064596,12.0,45.2088,2.0065,Solar,,
MEX,Ingenio San Miguelito,MEX0006685,5.2,18.864,-96.9168,Biomass,,
USA,System Control Center,USA0061742,,30.2199,-97.7088,Storage,2012.0,MISSING_CAPACITY
USA,CMEEC - Norwich Stott St Solar Hybrid,USA0060609,4.3,41.5769,-72.1046,Solar,2017.0,
NOR,Skollenborg,WRI1003499,102.0,59.6189,9.6677,Hydro,,
USA,Hopkinton CSG,USA0062760,,42.2035,-71.5315,Solar,2019.0,MISSING_CAPACITY
USA,Hartwell Energy Facility,USA0054538,360.0,34.3396,-82.8199,Gas,1994.0,
